Name,CID,CSID,smiles,melt_point_C
"D(+)-Glucose
",107526,,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O,146
"alpha-D-Glucose
",79025,,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,133
"D-Glucose
",5793,,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,133
"D-Glucosamine
",439213,,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O,88
"Hexose
",206,,C(C1C(C(C(C(O1)O)O)O)O)O,133
"N-Acetyl-D-Glucosamine
",439174,,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O,210
"L-Glucose
",24749,,C(C(C(C(C(C=O)O)O)O)O)O,146
"beta-Lactose
",6134,,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,212
"beta-D-Glucose pentaacetate
",2724702,,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,132
"alpha-D-Glucopyranose, pentaacetate
",79064,,CC(=O)OCC1C(C(C(C(O1)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,124
"beta-D-Glucose
",64689,,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,148
"Levoglucosan
",2724705,,C1[C@@H]2[C@H]([C@@H]([C@H]([C@H](O1)O2)O)O)O,183
"D-(+)-Maltose
",439186,,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O,102
"Deoxyglucose
",108223,,C(C=O)[C@H]([C@@H]([C@@H](CO)O)O)O,147
"D-(+)-Cellobiose
",10712,,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,235
"N-Acetyl-2-deoxy-2-amino-galactose
",84265,,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@@H]1O)CO)O)O,172
"Cellose
",439178,,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O,240
"Methyl alpha-D-glucopyranoside
",64947,,CO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,168
"Cellobiose
",294,,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,265
"D-Glucopyranose, pentaacetate
",10293747,,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H](C(O1)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,124
"D-Maltose
",10991489,,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@H]([C@H]2O)O)O)CO)O)O)O)O,102
"2-Deoxy-D-galactose
",225612,,C(C=O)C(C(C(CO)O)O)O,135
"Methyl beta-D-glucopyranoside
",445238,,CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,109
"Reductone
",4451502,,C(=O)C(C=O)O,143
"Silmurin
",441871,,CC(=O)O[C@@H]1C[C@@]2([C@H](CC[C@]3([C@@]2(CC[C@@H]3C4=COC(=O)C=C4)O)C)[C@@]5(C1=C[C@H](CC5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)O,169
"[3,4,5-Trihydroxy-6-(hydroxymethyl)oxan-2-yl] 3,4,5-trihydroxybenzoate
",4628122,,C1=C(C=C(C(=C1O)O)O)C(=O)OC2C(C(C(C(O2)CO)O)O)O,205
"1-o-p-Coumaroyl-beta-d-glucose
",14158116,,C1=CC(=CC=C1/C=C/C(=O)OC2C(C(C(C(O2)CO)O)O)O)O,212
"Linamarin
",11128,,CC(C)(C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,143
"Arbutin
",440936,,C1=CC(=CC=C1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,199
"alpha-Lactose
",84571,,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,201
"6-O-p-Coumaroyl-D-glucose
",13915664,,C1=CC(=CC=C1/C=C/C(=O)OCC2C(C(C(C(O2)O)O)O)O)O,185
"Chloralose
",7057995,,C([C@H]([C@@H]1[C@@H]([C@@H]2[C@H](O1)O[C@@H](O2)C(Cl)(Cl)Cl)O)O)O,183
"1,5-Anhydro-D-glucitol
",64960,,C1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,142
"Scilliroside
",62354,,CC(=O)OC1CC2(C(CCC3(C2(CCC3C4=COC(=O)C=C4)O)C)C5(C1=CC(CC5)OC6C(C(C(C(O6)CO)O)O)O)C)O,169
"Maltose
",439341,,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,240
"2-Deoxy-2-(3-methyl-3-nitrosoureido)-D-glucopyranose
",2733335,,CN(C(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O)N=O,115
"Streptozocin
",29327,,CN(C(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O)N=O,115
"alpha-D-Glucopyranoside, methyl
",2108,,COC1C(C(C(C(O1)CO)O)O)O,168
"Lidocaine hydrochloride
",6314,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl,78
"1,2,3,6-Tetragalloyl-beta-D-glucopyranose
",5153644,,C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)O,250
"1,2,4,6-Tetragalloyl-beta-D-glucopyranose
",14464350,,C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O,250
"Arbutoside
",346,,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,142
"2-O-p-Coumaroyl-D-glucose
",14034264,,C1=CC(=CC=C1/C=C/C(=O)OC2C(C(C(OC2O)CO)O)O)O,205
"D(+)-Cellobiose, 98%
",57370084,,C(C1[C@H]([C@@H](C([C@@H](O1)O[C@H]2[C@@H](C(C(OC2CO)O)O)O)O)O)O)O,240
"Serotinose
",4474425,,C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O,200
"Tannic acid
",16129778,,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,200
"4-O-beta-D-Glucopyranosyl-alpha-D-glucopyranose
",441014,,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,240
"Neohesperidose
",5184980,,CC1C(C(C(C(O1)OC2C(C(C(OC2O)CO)O)O)O)O)O,191
"4-a-Isomaltosylglucose
",4120027,,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3C(OC(C(C3O)O)O)CO)O)O)O)O)O)O)O,223
"3,3'-Dimethoxybenzidine dihydrochloride
",62311,,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N.Cl.Cl,268
"D-Glucopyranose, pentakis(3,4-dihydroxy-5-((3,4,5-trihydroxybenzoyl)oxy)benzoate)
",16131300,,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H](C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,200
"N,N',N''-Triacetylchitotriose
",123774,,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)NC(=O)C)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)NC(=O)C)O)CO)CO)O)O,305
"L-Arabinose
",439195,,C1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O,158
"D-Arabinopyranose
",6902,,C1[C@H]([C@H]([C@@H](C(O1)O)O)O)O,158
"Pentose
",229,,C1C(C(C(C(O1)O)O)O)O,158
"beta-L-Arabinose
",439764,,C1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,158
"L(+)-Arabinose, 99+%
",25245970,,C1[C@@H]([C@@H](C(C(O1)O)O)O)O,158
"beta-D-Arabinopyranose
",444173,,C1[C@H]([C@H]([C@@H]([C@@H](O1)O)O)O)O,158
"Cytarabine
",6253,,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,212
"Cytosine arabinose-5'-phosphate
",65177,,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O,233
"alpha-L-Lyxopyranose
",641630,,C1[C@@H]([C@H]([C@H]([C@@H](O1)O)O)O)O,158
"L(+)-Arabinose
",59435876,,C1[C@H](C(C(C(O1)O)O)O)O,158
"beta-D-Xylopyranosyl-(1->5)-alpha-L-arabinofuranosyl-(1->3)-L-arabinose
",131752478,,C1C(C(C(C(O1)O)O)OC2C(C(C(O2)COC3C(C(C(CO3)O)O)O)O)O)O,134
"2-O-b-D-Xylopyranosyl-L-arabinose
",131752484,,C1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](COC2O)O)O)O)O)O,98
"DL-Xylose
",644160,,C([C@H]([C@@H]([C@H](C=O)O)O)O)O,153
"D-Xylose
",135191,,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,90
"UDP-xylose
",19235,,C1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)O)O)O,144
"4-O-Galactosylxylose
",131752482,,C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O,206
"4-O-Methyl-a-D-glucosyl-(1->2)-b-D-xylosyl-(1->4)-D-xylose
",78382737,,COC1C(C(C(OC1C(=O)O)OC2C(C(COC2OC3COC(C(C3O)O)O)O)O)O)O,183
"4-O-beta-D-Xylopyranosyl-D-xylose
",131750922,,C1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2COC([C@@H]([C@H]2O)O)O)O)O)O,187
"D-Galactose
",6036,,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O,133
"alpha D-Galactose
",439357,,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,170
"L-Fucose
",17106,,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O,140
"D-Lyxo-Hexose, 2-deoxy-
",102191,,C(C=O)[C@H]([C@H]([C@@H](CO)O)O)O,146
"alpha-L-Galactopyranose
",439583,,C([C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O)O)O)O)O,164
"4-Nitrophenyl-beta-D-galactopyranoside
",65115,,C1=CC(=CC=C1[N+](=O)[O-])O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O,189
"Orotic acid
",967,,C1=C(NC(=O)NC1=O)C(=O)O,345
"alpha-D-Galp-(1->4)-beta-D-Galp
",5288350,,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,212
"L-Rhamnose
",25310,,C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O,122
"L-Mannomethylose
",220001,,CC(C(C(C(C=O)O)O)O)O,135
"Sucralose
",71485,,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CCl)O)O)CCl)O)O)Cl)O,130
"Deoxybenzoin
",9948,,C1=CC=C(C=C1)CC(=O)C2=CC=CC=C2,60
"Acaciabiuronic acid
",14160009,,C(C1C(C(C(C(O1)O)O)O)O)OC2C(C(C(C(O2)C(=O)O)O)O)O,118
"(3R,4S,5S,6R)-6-(Acetoxymethyl)tetrahydro-2H-pyran-2,3,4,5-tetrayl tetraacetate
",2729838,,CC(=O)OC[C@@H]1[C@@H]([C@@H]([C@H](C(O1)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,124
"Lacto-N-triose I
",22609086,,CC(=O)NC1C(C(C(OC1OC2C(C(OC(C2O)O)CO)O)CO)O)OC3C(C(C(C(O3)CO)O)O)O,202
"Laminaran-from Eisenia bicyclis
",455149,,C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O,242
"alpha-D-Mannose
",185698,,C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O)O,132
"Methyl alpha-D-mannopyranoside
",101798,,CO[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,168
"alpha-L-Rhamnose
",439710,,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O)O)O)O,139
"Mannobiose
",448165,,C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@H]([C@H]2O)O)O)CO)O)O)O)O,203
"(2R,3R,4S,5S)-2,3,4,5-Tetrahydroxyhexanal
",19233,,C[C@@H]([C@@H]([C@H]([C@H](C=O)O)O)O)O,135
"Isosorbide dinitrate
",6883,,C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-],70
"Turanose
",5460935,,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]([C@@H]([C@@H](CO)O)O)C(=O)CO)O)O)O)O,168
"Lactulose
",11333,,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,169
"beta-D-Fructofuranose
",439709,,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O,120
"(3S,4S,5R)-1,3,4,5,6-Pentahydroxyhexan-2-one
",92092,,C([C@H]([C@@H]([C@@H](C(=O)CO)O)O)O)O,134
"L-(-)-Sorbose
",6904,,C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,165
"D-1,5-Anhydrofructose
",14299935,,C1C(=O)C(C(C(O1)CO)O)O,110
"4-O-a-D-Glucopyranosyl-D-fructose, 9CI
",22315804,,C(C1C(C(C(C(O1)OC(CO)C(C(C(=O)CO)O)O)O)O)O)O,201
"6-Deoxy-2-O-methyl-alpha-L-galactopyranose
",444792,,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O)OC)O)O,151
"Proscillaridin
",5284613,,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O,221
"Caradrin
",4951,,CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O,221
"Lactobiose
",440995,,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O,201
"6-O-alpha-D-Galactopyranosyl-alpha-D-Glucopyranose
",6602503,,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O)O)O)O)O)O)O)O,85
"1,6-Digalloyl-beta-D-glucopyranose
",3332212,,C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)O)O,205
"Streptozotocin;U 9889
",5300,,CN(C(=O)NC1C(C(C(OC1O)CO)O)O)N=O,115
"But-3-enylglucosinolate
",9548620,,C=CCC/C(=N\OS(=O)(=O)O)/S[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,125
"Metrizamide
",443944,,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)N[C@@H]2[C@H]([C@@H]([C@H](OC2O)CO)O)O)I)N(C)C(=O)C)I,223
"1,4,6-Trigalloyl-beta-D-glucopyranose
",14284610,,C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,204
"CID 9548622
",9548622,,CS(=O)CCC/C(=N\OS(=O)(=O)O)/S[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,143
"Methyl glucosinolate
",9573942,,C/C(=N\OS(=O)(=O)O)/SC1C(C(C(C(O1)CO)O)O)O,208
"1,2-Digalloyl-beta-D-glucopyranose
",14034255,,C1=C(C=C(C(=C1O)O)O)C(=O)OC2C(C(C(OC2OC(=O)C3=CC(=C(C(=C3)O)O)O)CO)O)O,169
"D-Vacciniin
",12444645,,C1=CC=C(C=C1)C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O)O)O)O,105
"(E)-2-O-Cinnamoyl-beta-D-glucopyranose
",14345566,,C1=CC=C(C=C1)/C=C/C(=O)OC2C(C(C(OC2O)CO)O)O,157
"Streptozotocin
",7067772,,CN(C(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O)N=O,115
"Crocin
",5281233,,C/C(=C\C=C\C=C(\C=C\C=C(\C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO[C@@H]2O[C@@H]([C@H]([C@@H]([C@H]2O)O)O)CO)/C)/C)/C=C/C=C(/C(=O)O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO[C@@H]4O[C@@H]([C@H]([C@@H]([C@H]4O)O)O)CO)\C,186
"Maltol
",8369,,CC1=C(C(=O)C=CO1)O,161
"2-Cinnamoyl-1-galloyl-beta-D-glucopyranose
",131752569,,C1=CC=C(C=C1)/C=C\C(=O)OC2C(C(C(OC2OC(=O)C3=CC(=C(C(=C3)O)O)O)CO)O)O,191
"Cycloheptaamylose
",320761,,C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(O2)C(C8O)O)CO)CO)CO)CO)CO)CO)O)O)O,260
"2-O-(4-Hydroxycinnamoyl)-1,6-di-O-galloyl-beta-D-glucopyranose
",131752572,,C1=CC(=CC=C1/C=C\C(=O)OC2C(C(C(OC2OC(=O)C3=CC(=C(C(=C3)O)O)O)COC(=O)C4=CC(=C(C(=C4)O)O)O)O)O)O,180
"Sinigrin
",6911854,,C=CC/C(=N\OS(=O)(=O)O)/S[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,126
"DIBOA-Glc
",58114415,,C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O,187
"1-Thio-b-D-glucopyranose 1-[3-hydroxy-3-methyl-N-(sulfooxy)butanimidate]
",131752365,,CC(C)(C/C(=N\OS(=O)(=O)O)/SC1C(C(C(C(O1)CO)O)O)O)O,168
