Name,CID,CSID,smiles,melt_point_C
"Tannic acid (TN)
",16129878,,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OCC3C(C(C(C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,200
"Gluconasturiin
",15560248,,C1=CC=C(C=C1)CC/C(=N\OS(=O)(=O)O)/SC2C(C(C(C(O2)CO)O)O)O,171
"1,2,3,16,17,18-Hexahydroxy-5,14-dioxo-5,7,8,11,12,14-hexahydro-10h-8,12-methanodibenzo[j,l][1,4,8]trioxacyclotetradecine-10,11,19-triyl tris(3,4,5-trihydroxybenzoate)
",475273,,C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5C6=C(C(=C(C=C6C(=O)O1)O)O)O)O)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O,236
"Stevioside
",442089,,C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)(C)C(=O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O,198
"Raphanusol A
",131752568,,COC1=CC(=CC(=C1O)OC)/C=C\C(=O)OC2C(OC(C(C2O)O)OC(=O)/C=C\C3=CC(=C(C(=C3)OC)O)OC)COC4C(C(C(C(O4)CO)O)O)O,137
"Glc(b1-3)Glc(b1-4)b-Glc
",91850734,,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O)O,230
"Rebaudioside A
",6918840,,C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C(=O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O,243
"[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1Z)-5-methylsulfanyl-N-sulfooxypentanimidothioate
",6537200,,CSCCCC/C(=N/OS(=O)(=O)O)/S[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,153
"Glycogen
",439177,,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O)CO)O)O)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)O,275
"Sinalbin
",415565,,C1=CC(=CC=C1CC(=NOS(=O)(=O)O)SC2C(C(C(C(O2)CO)O)O)O)O,191
"CID 51063134
",51063134,,COCC1[C@H](C(C(C(O1)OC)OC)OC)O[C@H]2C(C(C(C(O2)COC)OC)OC)OC,297
"Ethyl cellulose
",24832091,,CCOCC1C(C(C(C(O1)OC)OCC)OCC)OC2C(C(C(C(O2)CO)OC)O)O,247
"Deae-cellulose
",16211032,,C(C1[C@H](C(C(C(O1)O)O)O)O[C@H]2C(C(C(C(O2)CO)O)O)O)O,265
"Hydroxyethylcellulose
",4327536,,CC(COCC1C(C(C(C(O1)OC2C(OC(C(C2OCC(C)O)OCC(C)O)OCC(C)O)COCC(C)O)OCC(C)O)OCC(C)O)OCC(C)O)O,205
"Methyl cellulose
",525128,,COCC1C(C(C(C(O1)OC2C(OC(C(C2OC)OC)OC)COC)OC)OC)OC,297
"Daunoblastin
",3085106,,CC1C(C(CC(O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O.Cl,189
"alpha-CYCLODEXTRIN
",444913,,C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@H](O2)[C@@H]([C@H]7O)O)CO)CO)CO)CO)CO)O)O)O,278
"Inulin (by Enzymatic synthesis)
",18772499,,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)COC3(C(C(C(O3)CO)O)O)COC4(C(C(C(O4)CO)O)O)COC5(C(C(C(O5)CO)O)O)COC6(C(C(C(O6)CO)O)O)COC7(C(C(C(O7)CO)O)O)COC8(C(C(C(O8)CO)O)O)COC9(C(C(C(O9)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)CO)O)O)O)O,178
"Pectin
",441476,,[C@@H]1([C@H]([C@H](O[C@H]([C@@H]1O)O)C(=O)O)O)O,143
"Adenosine monophosphate
",6083,,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N,197
"Benzocaine
",2337,,CCOC(=O)C1=CC=C(C=C1)N,92
"D-Cellobiose
",24802025,,C(C1[C@H]([C@H](C([C@@H](O1)O[C@H]2[C@H](C([C@@H](OC2CO)O)O)O)O)O)O)O,265
"(2R,3S,4S,5R,6S)-2-(Hydroxymethyl)-6-[(2R,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol
",9549179,,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,240
1-thio-beta-D-glucose tetraacetate,,79653,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)S)OC(=O)C)OC(=O)C)OC(=O)C,116
"1,6-anhydro-beta-D-glucopyranose",,9587432,C1[C@@H]2[C@H]([C@@H]([C@H]([C@H](O1)O2)O)O)O,182
"2,3,4,6-tetra-o-benzyl-alpha-D-glucopyranose",,9905972,c1ccc(cc1)COC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O)OCc3ccccc3)OCc4ccccc4)OCc5ccccc5,151
"2,3,4,6-tetra-o-benzyl-D-glucopyranose",,9115737,c1ccc(cc1)COC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)OCc3ccccc3)OCc4ccccc4)OCc5ccccc5,153
2-deoxy-D-glucose,,388402,C1[C@H]([C@@H]([C@H](OC1O)CO)O)O,150
acetobromo-alpha-D-glucose,,91958,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)Br)OC(=O)C)OC(=O)C)OC(=O)C,87
alpha-D-glucose pentaacetate,,2005838,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,111
beta-D-galactose pentaacetate,,85491,CC(=O)OC[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,144
D-arabinose,,59687,C([C@H]([C@H]([C@@H](C=O)O)O)O)O,156
D-fucose,,85076,C[C@H]([C@@H]([C@@H]([C@H](C=O)O)O)O)O,145
diacetone-D-glucose,,2005820,CC1(OCC(O1)[C@@H]2[C@@H]([C@@H]3[C@H](O2)OC(O3)(C)C)O)C,109
dl-arabinose,,4573877,C([C@@H]([C@@H]([C@H](C=O)O)O)O)O,159
"methyl 4,6-o-benzylidene-alpha-d-glucopyranoside",,558408,CO[C@@H]1[C@@H]([C@H]([C@H]2[C@H](O1)CO[C@H](O2)c3ccccc3)O)O,165
"1,2,3,4,6-Pentakis-O-{3,4-dihydroxy-5-[(3,4,5-trihydroxybenzoyl)oxy]benzoyl}-beta-D-glucopyranose",,17286569,O=C(O[C@@H]9O[C@H](COC(=O)c2cc(O)c(O)c(OC(=O)c1cc(O)c(O)c(O)c1)c2)[C@@H](OC(=O)c4cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c4)[C@H](OC(=O)c6cc(O)c(O)c(OC(=O)c5cc(O)c(O)c(O)c5)c6)[C@H]9OC(=O)c8cc(O)c(O)c(OC(=O)c7cc(O)c(O)c(O)c7)c8)c%11cc(O)c(O)c(OC(=O)c%10cc(O)c(O)c(O)c%10)c%11,210
2-(Hydroxymethyl)phenyl beta-D-glucopyranoside,,388601,OCc2ccccc2O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,199
2-O-Acetyl-3-O-bromo-D-glucose,,91958,Br[C@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,89.5
7-Hydroxy-2-oxo-2H-chromen-6-yl beta-D-glucopyranoside,,4444765,O=C2C=Cc3cc(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c(O)cc3O2,205
alpha-D-Glucopyranosyl-(1->4)-alpha-D-glucopyranosyl-(1->4)-D-glucopyranose,,388669,O[C@@H]3[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]3O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]1[C@@H](CO)OC(O)[C@H](O)[C@H]1O)[C@H](O)[C@H]2O,133
Dodecyl 4-O-alpha-D-glucopyranosyl-beta-D-glucopyranoside,,102836,O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2O[C@@H]1[C@@H](CO)O[C@@H](OCCCCCCCCCCCC)[C@H](O)[C@H]1O,150
".alpha.-d-glucopyranoside, methyl",,2024,OC1C(O)C(O)C(CO)OC1OC,168
".beta.-d-glucopyranose, 4-o-.beta.-d-galactopyra",,5904,OC2C(OC1OC(CO)C(O)C(O)C1O)C(CO)OC(O)C2O,254
"beta-d-glucopyranose, pentaacetate",,71396,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,134
d-galacturonic acid,,134737,OC(C(O)C(O)C(O)C=O)C(=O)O,166
"d-fructose, 3-o-.alpha.-d-glucopyranosyl-",,190428,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(=O)CO,168
d-fucose,,190747,OC(C)C(O)C(O)C(O)C=O,144
"beta-d-glucopyranoside, 4-nitrophenyl",,227670,[O-][N+](=O)c1ccc(cc1)OC2OC(CO)C(O)C(O)C2O,166.5
cellobiose,,268424,O=CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,240
5-thio-d-glucose,,271575,OC1C(O)C(CO)SC(O)C1O,135.5
"beta-d-glucopyranoside, phenyl",,277113,OCC2OC(Oc1ccccc1)C(O)C(O)C2O,177
acetobromglucose,,306631,O=C(C)OC1OC(CBr)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,88.5
4-methoxyphenyl glucopyranoside,,337197,COc1ccc(cc1)OC2OC(CO)C(O)C(O)C2O,159
"glucopyranoside, propyl, tetranitrate, ?-d-",,10469321,[O-][N+](=O)OCC1OC(OCCC)C(O[N+]([O-])=O)C(O[N+]([O-])=O)C1O[N+]([O-])=O,199
"glucopyranoside, butyl, tetranitrate, ?-d-",,10469328,[O-][N+](=O)OCC1OC(OCCCC)C(O[N+]([O-])=O)C(O[N+]([O-])=O)C1O[N+]([O-])=O,199
2-Deoxy-2-[(methoxycarbonyl)amino]-beta-D-glucopyranose,,21474808,O=C(OC)N[C@@H]1[C@@H](O)[C@H](O)[C@H](O[C@H]1O)CO,195.85
N-Carbamoyl-beta-D-glucopyranosylamine,,2095571,O=C(N[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO)N,207
Octaacetyl-?-cellobiose,,96681,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC(=O)C)OC(=O)C)OC(=O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,228
"n-butyl-n-(2-acetoxyethyl)-4-((4-nitro-2,6-dicyanophenyl)azo)-3-methylbenzeneamine",,145595,CCCCN(CCOC(=O)C)c1ccc(c(c1)C)/N=N/c2c(cc(cc2C#N)[N+](=O)[O-])C#N,151
4-Benzoylbiphenyl,,67593,c1ccc(cc1)c2ccc(cc2)C(=O)c3ccccc3,100
D-Glucono-?-lactone,,6760,C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,153
Arbutin,,389765,c1cc(ccc1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,198
Hesperidin,,10176,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)Oc3cc(c4c(c3)O[C@@H](CC4=O)c5ccc(c(c5)O)OC)O)O)O)O)O)O)O,255
D-Mannopyranose,,17893,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,130
4-Nitrophenyl ?-D-glucoside,,83889,c1cc(ccc1[N+](=O)[O-])O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,167
isoquercetin,,4444361,c1cc(c(cc1c2c(c(=O)c3c(cc(cc3o2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,240
?-Maltose,,6019,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,93
LZ4958000,,5422684,CC1(OC[C@@H](O1)[C@@H]2[C@@H]([C@@H]3[C@H](O2)OC(O3)(C)C)O)C,110
N-acetyl-?-D-glucosamine,,74284,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O,211
Fludeoxyglucose,,148702,C([C@H]([C@H]([C@@H]([C@H](C=O)F)O)O)O)O,173
1721895,,398561,C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)N,127
Monoacetone glucose,,79123,CC1(O[C@@H]2[C@H]([C@H](O[C@@H]2O1)[C@@H](CO)O)O)C,160
2331340,,32855,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](OC1O)CO)O)O,160
β-D-Glucosamine Pentaacetate,,89857,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C,187
MUD,,2015550,Cc1cc(=O)oc2c1ccc(c2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,260
"1,2,3,4,6-Pentagalloyl glucose",,58735,c1c(cc(c(c1O)O)O)C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC(=O)c3cc(c(c(c3)O)O)O)OC(=O)c4cc(c(c(c4)O)O)O)OC(=O)c5cc(c(c(c5)O)O)O)OC(=O)c6cc(c(c(c6)O)O)O,250
1690776,,78777,Cc1cc(=O)oc2c1ccc(c2)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,172
N-Acetyl-b-D-glucosamine,,22563,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O,211
Thioglucose,,79877,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)S)O,137
Maltotriose,,388669,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O,133
D-Glucose pentaacetate,,83925,CC(=O)OC[C@H]([C@H]([C@@H]([C@H](C=O)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,93
"β-D-Glucopyranose, 1,2,3,4-tetraacetate",,75004,CC(=O)O[C@@H]1[C@H](O[C@H]([C@@H]([C@H]1OC(=O)C)OC(=O)C)OC(=O)C)CO,128
corilagin,,66248,c1c(cc(c(c1O)O)O)C(=O)O[C@H]2[C@@H]([C@@H]3[C@@H]([C@H](O2)COC(=O)c4cc(c(c(c4-c5c(cc(c(c5O)O)O)C(=O)O3)O)O)O)O)O,200
Allyl a-D-Glucopyranoside,,9053935,C=CCO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,140
"Tannic acid, ?",,17286569,c1c(cc(c(c1O)O)O)C(=O)Oc2cc(cc(c2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)c4cc(c(c(c4)OC(=O)c5cc(c(c(c5)O)O)O)O)O)OC(=O)c6cc(c(c(c6)OC(=O)c7cc(c(c(c7)O)O)O)O)O)OC(=O)c8cc(c(c(c8)OC(=O)c9cc(c(c(c9)O)O)O)O)O)OC(=O)c1cc(c(c(c1)OC(=O)c1cc(c(c(c1)O)O)O)O)O,218
Acarbose,,38116,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO,167
sodium glucose 6-phosphate,,94492,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)OP(=O)(O)[O-].[Na+],204
D-glucosone,,140353,C([C@H]([C@H]([C@@H](C(=O)C=O)O)O)O)O,119
D-Cellotriose,,4450242,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O,165
4157370,,2005837,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O.Cl,192
methyl D-glucoside,,2300694,COC1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,160
Melibiose,,10974,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O)O)O)O)O)O)O)O,182
D-glucose monohydrate,,18532158,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O.O,83
93798,,19951198,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)O)O)O)O.O,120
6-AMINO-6-DEOXY-D-GLUCOSE HYDROCHLORIDE,,171672,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)N.Cl,172
93355,,388333,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O,157
Gentiobiose,,16739130,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC[C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O)O)O)O,196
chitobiose,,388637,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@@H]2[C@H](OC([C@@H]([C@H]2O)NC(=O)C)O)CO)CO)O)O,246
?-D-Xylopyranose,,111589,C1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O,86
MFCD00006820,,84025,CC1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@H](O2)O)O)O,169
1865171,,2018945,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)F)O)O,116
